city,county,model_year,make,model,electric_vehicle_type,n_cars
Sequim,Clallam,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Burien,King,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),2
Vaughn,Pierce,2023,FORD,F-150,Battery Electric Vehicle (BEV),2
Normandy Park,King,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),2
Bellevue,King,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),2
Monroe,Snohomish,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Richland,Benton,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),2
Kirkland,King,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Vaughn,Pierce,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Monroe,Snohomish,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),2
Normandy Park,King,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),2
Auburn,King,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),2
Richland,Benton,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),2
Bellevue,King,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellevue,King,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
Burien,King,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Normandy Park,King,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Woodland,Cowlitz,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),2
Burien,King,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),2
Auburn,King,2022,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2022,BMW,I4,Battery Electric Vehicle (BEV),2
La Center,Clark,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,King,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),2
Nordland,Jefferson,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Nordland,Jefferson,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),2
Woodland,Cowlitz,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Redmond,King,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),2
Auburn,Pierce,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2021,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Mercer Island,King,2023,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),2
Walla Walla,Walla Walla,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellevue,King,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,Pierce,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),2
Monroe,Snohomish,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Mercer Island,King,2023,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),2
Mercer Island,King,2023,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV),2
Mercer Island,King,2023,LEXUS,RZ 450E,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),2
Walla Walla,Walla Walla,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Mercer Island,King,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),2
Mercer Island,King,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),2
Richland,Benton,2022,AUDI,E-TRON,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Mercer Island,King,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),2
Nordland,Jefferson,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Walla Walla,Walla Walla,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2022,AUDI,E-TRON SPORTBACK,Battery Electric Vehicle (BEV),2
Richland,Benton,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),2
Buckley,Pierce,2023,BMW,I4,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2018,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2019,BMW,I3,Battery Electric Vehicle (BEV),2
Richland,Benton,2022,BMW,I4,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Sequim,Clallam,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
Monroe,Snohomish,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),2
Monroe,Snohomish,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Monroe,Snohomish,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2014,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),2
Monroe,Snohomish,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2019,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2014,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),2
Walla Walla,Walla Walla,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Woodinville,King,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Sequim,Clallam,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2019,HYUNDAI,KONA,Battery Electric Vehicle (BEV),2
Mercer Island,King,2023,VOLVO,C40,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),2
Redmond,King,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Buckley,Pierce,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Auburn,Pierce,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2022,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),2
Mercer Island,King,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Walla Walla,Walla Walla,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Mercer Island,King,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Nine Mile Falls,Stevens,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Nine Mile Falls,Stevens,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Nine Mile Falls,Stevens,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Redmond,King,2020,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Nine Mile Falls,Stevens,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),2
Montesano,Grays Harbor,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),2
Winthrop,Okanogan,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),2
Nine Mile Falls,Stevens,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Selah,Yakima,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Walla Walla,Walla Walla,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Redmond,King,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),2
Selah,Yakima,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Walla Walla,Walla Walla,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Lake Forest Park,King,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Lake Forest Park,King,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Lake Forest Park,King,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
Mercer Island,King,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),2
Lake Forest Park,King,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Selah,Yakima,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),2
Redmond,King,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
Woodland,Cowlitz,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2022,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),2
Nordland,Jefferson,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Walla Walla,Walla Walla,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
Nordland,Jefferson,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),2
Nordland,Jefferson,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Monroe,Snohomish,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2021,KIA,NIRO,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),2
Richland,Benton,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),2
Mercer Island,King,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2023,AUDI,Q4,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2023,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,Pierce,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2021,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Sequim,Clallam,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellevue,King,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2019,KIA,NIRO,Battery Electric Vehicle (BEV),2
La Conner,Skagit,2019,KIA,NIRO,Battery Electric Vehicle (BEV),2
Auburn,King,2024,BMW,IX,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2019,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),2
Sequim,Clallam,2019,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2016,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),2
Normandy Park,King,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2019,KIA,NIRO,Battery Electric Vehicle (BEV),2
La Conner,Skagit,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Woodinville,King,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Burien,King,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Burien,King,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Sequim,Clallam,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
La Conner,Skagit,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),2
Burien,King,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2017,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),2
La Conner,Skagit,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Burien,King,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Monroe,Snohomish,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),2
Redmond,King,2018,BMW,I3,Battery Electric Vehicle (BEV),2
Woodland,Cowlitz,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),2
Burien,King,2012,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),2
Burien,King,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellevue,King,2020,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),2
La Conner,Skagit,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Redmond,King,2017,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),2
Woodinville,King,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),2
Richland,Benton,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),2
Richland,Benton,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
La Center,Clark,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2021,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,King,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,King,2023,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),2
Redmond,King,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2020,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),2
Normandy Park,King,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Normandy Park,King,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Sequim,Clallam,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,King,2023,VOLVO,C40,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Monroe,Snohomish,2023,AUDI,Q4,Battery Electric Vehicle (BEV),2
Burien,King,2014,MERCEDES-BENZ,B-CLASS,Battery Electric Vehicle (BEV),2
Auburn,King,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),2
Monroe,Snohomish,2023,BMW,I4,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2019,KIA,NIRO,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),2
La Conner,Skagit,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),2
La Conner,Skagit,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Ridgefield,Clark,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2014,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Normandy Park,King,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2023,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Walla Walla,Walla Walla,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),2
Buckley,Pierce,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Walla Walla,Walla Walla,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Bellingham,Whatcom,2018,FIAT,500,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,Pierce,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Redmond,King,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2015,BMW,I3,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),2
Monroe,Snohomish,2023,KIA,NIRO,Battery Electric Vehicle (BEV),2
Auburn,Pierce,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Bainbridge Island,Kitsap,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),2
Bellevue,King,2019,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Buckley,Pierce,2023,FORD,F-150,Battery Electric Vehicle (BEV),2
Bellevue,King,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),2
Monroe,Snohomish,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),2
Walla Walla,Walla Walla,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Auburn,Pierce,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),2
Woodland,Cowlitz,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Lacey,Thurston,2011,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellevue,King,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),2
Ridgefield,Clark,2020,HYUNDAI,IONIQ,Battery Electric Vehicle (BEV),2
Bellevue,King,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Redmond,King,2018,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Woodinville,King,2015,BMW,I3,Battery Electric Vehicle (BEV),2
Burbank,Walla Walla,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),2
Normandy Park,King,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),2
Mill Creek,Snohomish,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2017,FIAT,500,Battery Electric Vehicle (BEV),2
Mill Creek,Snohomish,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Sequim,Clallam,2017,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2014,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),2
Walla Walla,Walla Walla,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
Buena Park,Orange,2023,AUDI,E-TRON,Battery Electric Vehicle (BEV),2
Monroe,Snohomish,2023,HYUNDAI,TUCSON,Plug-in Hybrid Electric Vehicle (PHEV),2
Bellingham,Whatcom,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),2
Lacey,Thurston,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),2
Bainbridge Island,Kitsap,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),2
Bonney Lake,Pierce,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),2
Woodinville,Snohomish,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2
Longview,Cowlitz,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),2
